date,time,value
2021-07-08,13-03,"0x00024"
2021-07-08,13-08,"0x00024"
2021-07-08,13-13,"0x00024"
2021-07-08,13-18,"0x00024"
2021-07-08,13-23,"0x00024"
2021-07-08,13-28,"0x00024"
2021-07-08,13-33,"0x00024"
2021-07-08,13-38,"0x00024"
2021-07-08,13-43,"0x00024"
2021-07-08,13-48,"0x00024"
2021-07-08,13-53,"0x00024"
2021-07-08,13-58,"0x00024"
2021-07-08,14-03,"0x00024"
2021-07-08,14-08,"0x00024"
2021-07-08,14-13,"0x00024"
2021-07-08,14-18,"0x00024"
2021-07-08,14-23,"0x00024"
2021-07-08,14-28,"0x00024"
2021-07-08,14-33,"0x00024"
2021-07-08,14-38,"0x00024"
2021-07-08,14-43,"0x00024"
2021-07-08,14-48,"0x00024"
2021-07-08,14-53,"0x00024"
2021-07-08,14-58,"0x00024"
2021-07-08,15-03,"0x00024"
2021-07-08,15-08,"0x00024"
2021-07-08,15-13,"0x00024"
2021-07-08,15-18,"0x00024"
2021-07-08,15-23,"0x00024"
2021-07-08,15-28,"0x00024"
2021-07-08,15-33,"0x00024"
2021-07-08,15-38,"0x00024"
2021-07-08,15-43,"0x00024"
2021-07-08,15-48,"0x00024"
2021-07-08,15-53,"0x00024"
2021-07-08,15-58,"0x00024"
2021-07-08,16-03,"0x00024"
2021-07-08,16-08,"0x00024"
2021-07-08,16-13,"0x00024"
2021-07-08,16-18,"0x00024"
2021-07-08,16-23,"0x00024"
2021-07-08,16-28,"0x00024"
2021-07-08,16-33,"0x00024"
2021-07-08,16-38,"0x00024"
2021-07-08,16-43,"0x00024"
2021-07-08,16-48,"0x00024"
2021-07-08,16-53,"0x00024"
2021-07-08,16-58,"0x00024"
2021-07-08,17-03,"0x00024"
2021-07-08,17-08,"0x00024"
2021-07-08,17-13,"0x00024"
2021-07-08,17-18,"0x00024"
2021-07-08,17-23,"0x00024"
2021-07-08,17-28,"0x00024"
